date,eng,it
2001,67,0
2002,22101,0
2003,121529,827
2004,247744,5204
2005,666400,38079
2006,1660182,183566
2007,4126258,478615
2008,7347477,854287
2009,10802797,1222705
2010,13635102,1558603
2011,16558165,1901852
2012,18934498,2251339
2013,21370637,2586294
2014,23569689,2887839
2015,25831929,3221909
2016,28630031,3568349
2017,30979674,3911699
2018,33243686,4317002
2019,35490947,5122092
2020,37641035,5521325
2021,40070181,5883987
2022,42299025,6234931
2023,44170817,6538065
2024,46215578,6816165



